id,leader_name,leader_id,leader_cgpa,co_leader_id,co_leader_cgpa,contact_mail,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
23,Person10,160205010,3.4,160205011,3.03,person10@gmail.com,Renewable Energy,Power & Energy Systems,Electronics,Internet of Things,Communication,Biomedical Signal & Image Processing,Optical Fiber Communication,Machine Learning & Data Science,Digital Signal Processing,Wireless Communication
22,Person9,160205009,3.69,160205012,3.12,person9@gmail.com,Optical Fiber Communication,Machine Learning & Data Science,Internet of Things,Electronics,Power & Energy Systems,Communication,Renewable Energy,Wireless Communication,Biomedical Signal & Image Processing,Digital Signal Processing
21,Person8,160205008,3.75,160205013,3.33,person8@gmail.com,Electronics,Internet of Things,Machine Learning & Data Science,Power & Energy Systems,Communication,Optical Fiber Communication,Biomedical Signal & Image Processing,Digital Signal Processing,Renewable Energy,Wireless Communication
20,Person7,160205007,3.86,160205014,3.22,person7@gmail.com,Wireless Communication,Biomedical Signal & Image Processing,Optical Fiber Communication,Machine Learning & Data Science,Internet of Things,Renewable Energy,Digital Signal Processing,Communication,Power & Energy Systems,Electronics
19,Person6,160205006,3.96,160205015,3.42,person6@gmail.com,Machine Learning & Data Science,Optical Fiber Communication,Electronics,Power & Energy Systems,Communication,Digital Signal Processing,Renewable Energy,Wireless Communication,Internet of Things,Biomedical Signal & Image Processing
18,Person5,160205005,3.33,160205016,3.07,person5@gmail.com,Internet of Things,Machine Learning & Data Science,Optical Fiber Communication,Biomedical Signal & Image Processing,Wireless Communication,Renewable Energy,Digital Signal Processing,Communication,Power & Energy Systems,Electronics
17,Person4,160205004,3.5,160205017,3,person4@gmail.com,Digital Signal Processing,Renewable Energy,Electronics,Power & Energy Systems,Wireless Communication,Communication,Internet of Things,Machine Learning & Data Science,Optical Fiber Communication,Biomedical Signal & Image Processing
16,Person3,160205003,3.71,160205018,3.28,person3@gmail.com,Communication,Digital Signal Processing,Renewable Energy,Wireless Communication,Biomedical Signal & Image Processing,Optical Fiber Communication,Machine Learning & Data Science,Internet of Things,Electronics,Power & Energy Systems
15,Person2,160205002,3.75,160205019,3.01,person2@gmail.com,Power & Energy Systems,Communication,Digital Signal Processing,Renewable Energy,Wireless Communication,Biomedical Signal & Image Processing,Optical Fiber Communication,Machine Learning & Data Science,Internet of Things,Electronics
14,Person1,160205001,3.92,160205020,3.31,person1@gmail.com,Electronics,Power & Energy Systems,Communication,Digital Signal Processing,Renewable Energy,Wireless Communication,Biomedical Signal & Image Processing,Optical Fiber Communication,Machine Learning & Data Science,Internet of Things
